rows,cols,cpu_ms,gpu_ms,tiled_ms
1000,2000,151.844400,59.828900
2000,3000,190.912900,178.808000
3000,4000,422.303100,428.661700
4000,5000,832.767500,809.914300
5000,6000,1393.050500,1377.498600
6000,7000,2214.120100,2151.562800
7000,8000,3245.781500,3167.834500
8000,9000,4660.382800,4510.923700
9000,10000,6902.036800,6115.334800
10000,11000,8536.198100,8243.101200
